,date,provinceNo
0,20210822,9.0
0,20210822,19.0
0,20210822,11.0
0,20210822,15.0
0,20210822,13.0
0,20210901,70.0
0,20210901,35.0
0,20210901,40.0
0,20210901,44.0
0,20210901,31.0
0,20210901,45.0
0,20210901,29.0
0,20210901,37.0
0,20210901,39.0
0,20210901,9.0
0,20210901,19.0
0,20210901,11.0
0,20210901,15.0
0,20210908,71.0
0,20210908,70.0
0,20210908,40.0
0,20210908,44.0
0,20210908,31.0
0,20210908,45.0
0,20210908,29.0
0,20210908,37.0
0,20210908,39.0
0,20210908,9.0
0,20210908,19.0
0,20210908,11.0
0,20210908,15.0
0,20210915,70.0
0,20210915,40.0
0,20210915,44.0
0,20210915,31.0
0,20210915,45.0
0,20210915,29.0
0,20210915,37.0
0,20210915,39.0
0,20210915,10.0
0,20210915,9.0
0,20210915,19.0
0,20210915,11.0
0,20210915,15.0
0,20210922,70.0
0,20210922,40.0
0,20210922,44.0
0,20210922,31.0
0,20210922,45.0
0,20210922,29.0
0,20210922,37.0
0,20210922,39.0
0,20210922,10.0
0,20210922,9.0
0,20210922,19.0
0,20210922,11.0
0,20210922,15.0
0,20211001,70.0
0,20211001,36.0
0,20211001,40.0
0,20211001,44.0
0,20211001,31.0
0,20211001,45.0
0,20211001,29.0
0,20211001,37.0
0,20211001,39.0
0,20211001,20.0
0,20211001,9.0
0,20211001,19.0
0,20211001,11.0
0,20211001,15.0
0,20211008,70.0
0,20211008,40.0
0,20211008,44.0
0,20211008,31.0
0,20211008,45.0
0,20211008,29.0
0,20211008,37.0
0,20211008,39.0
0,20211008,20.0
0,20211008,9.0
0,20211008,19.0
0,20211008,11.0
0,20211008,15.0
0,20211015,70.0
0,20211015,40.0
0,20211015,44.0
0,20211015,31.0
0,20211015,37.0
0,20211015,39.0
0,20211015,20.0
0,20211015,9.0
0,20211015,19.0
0,20211015,11.0
0,20211015,15.0
0,20211022,70.0
0,20211022,44.0
0,20211022,31.0
0,20211022,37.0
0,20211022,9.0
0,20211022,19.0
0,20211022,11.0
0,20211022,15.0
0,20211101,70.0
0,20211101,44.0
0,20211101,31.0
0,20211101,37.0
0,20211101,9.0
0,20211101,19.0
0,20211101,11.0
0,20211101,15.0
0,20211108,70.0
0,20211108,44.0
0,20211108,31.0
0,20211108,37.0
0,20211108,9.0
0,20211108,19.0
0,20211108,11.0
0,20211108,15.0
0,20211115,70.0
0,20211115,44.0
0,20211115,31.0
0,20211115,37.0
0,20211122,70.0
0,20211122,44.0
0,20211122,31.0
0,20211122,37.0
0,20211201,70.0
0,20211201,44.0
0,20211201,31.0
0,20211201,37.0
0,20211201,11.0
0,20211208,70.0
0,20211208,44.0
0,20211208,31.0
0,20211208,11.0
0,20211215,70.0
0,20211215,44.0
0,20211215,31.0
0,20211215,11.0
0,20211222,70.0
0,20211222,44.0
0,20211222,31.0
0,20211222,9.0
0,20211222,11.0
0,20220101,70.0
0,20220101,31.0
0,20220101,9.0
0,20220101,11.0
0,20220108,70.0
0,20220108,31.0
0,20220108,11.0
0,20220115,70.0
0,20220115,31.0
0,20220122,70.0
0,20220122,8.0
