,date,provinceNo,PM25,O3,CO,cluster
415,15/10/2020,69,14.79166667,52,180,1
416,15/10/2020,70,5.791666667,37,160,1
417,15/10/2020,71,6.291666667,42,180,1
418,15/10/2020,72,23.66666667,38,200,2
419,15/10/2020,73,7.681818182,36,180,1
420,15/10/2020,74,7.166666667,43,230,1
421,15/10/2020,75,20.28835775,107,1560,0
422,15/10/2020,76,12.11428571,74,440,1
423,22/10/2020,0,7.270833333,47,220,0
424,22/10/2020,1,11.21428571,63,210,0
425,22/10/2020,2,10.02083333,38,180,0
426,22/10/2020,3,6.458333333,41,210,0
427,22/10/2020,4,9.25,35,220,0
428,22/10/2020,5,4.541666667,53,170,0
429,22/10/2020,6,6.063829787,49,210,0
430,22/10/2020,7,16.58333333,61,200,2
431,22/10/2020,10,23.875,107,300,2
432,22/10/2020,13,15.41666667,98,280,2
433,22/10/2020,20,7.041666667,69,270,0
434,22/10/2020,21,7.608695652,109,270,0
435,22/10/2020,24,11.33333333,92,280,0
436,22/10/2020,27,11.83333333,100,290,0
437,22/10/2020,33,10.41666667,81,280,0
438,22/10/2020,34,12.69047619,144,860,1
439,22/10/2020,35,11.875,116,560,0
440,22/10/2020,36,9.458333333,136,370,0
441,22/10/2020,41,18.825,120,360,2
442,22/10/2020,43,20.91666667,310,1280,1
443,22/10/2020,47,17.75,93,250,2
444,22/10/2020,49,5.958333333,81,300,0
445,22/10/2020,52,27.23529412,49,310,2
446,22/10/2020,53,10.41666667,88,240,0
447,22/10/2020,54,10.78472222,87,260,0
448,22/10/2020,56,15.375,85,380,2
449,22/10/2020,57,5.125,46,270,0
450,22/10/2020,63,9.125,33,200,0
451,22/10/2020,64,7.230769231,33,250,0
452,22/10/2020,69,18.54166667,30,260,2
453,22/10/2020,70,7.166666667,40,230,0
454,22/10/2020,71,9.52173913,24,200,0
455,22/10/2020,72,24.41666667,43,300,2
456,22/10/2020,73,9.25,28,280,0
457,22/10/2020,74,9.791666667,32,310,0
458,22/10/2020,75,20.08653846,155,770,1
459,22/10/2020,76,11.87931034,85,240,0
460,1/11/2020,0,10.10416667,49,350,0
461,1/11/2020,1,13.125,82,440,0
462,1/11/2020,2,11.91666667,61,320,0
463,1/11/2020,3,8.083333333,50,330,0
464,1/11/2020,4,8.25,57,370,0
465,1/11/2020,5,5.708333333,52,340,0
466,1/11/2020,6,8.611764706,71,370,0
467,1/11/2020,7,25.70833333,83,390,2
468,1/11/2020,10,13.45833333,105,410,0
469,1/11/2020,13,13.83333333,79,230,0
470,1/11/2020,20,4.772727273,97,390,0
471,1/11/2020,21,5.347826087,92,350,0
472,1/11/2020,24,11.33333333,92,330,0
473,1/11/2020,27,8.458333333,78,200,0
474,1/11/2020,33,11.58333333,84,360,0
475,1/11/2020,34,12.92105263,42,870,0
476,1/11/2020,35,12.45833333,47,650,0
477,1/11/2020,36,15.20833333,100,450,0
478,1/11/2020,41,19.23958333,89,370,2
479,1/11/2020,43,19.4375,129,1640,1
480,1/11/2020,47,17.04761905,71,250,2
481,1/11/2020,49,7.083333333,84,330,0
482,1/11/2020,52,25.8,48,230,2
483,1/11/2020,53,12.41666667,64,260,0
484,1/11/2020,54,11.78333333,61,260,0
485,1/11/2020,56,14.79166667,55,390,0
486,1/11/2020,57,11.25,65,470,0
487,1/11/2020,63,8.777777778,45,240,0
488,1/11/2020,64,9.8,54,220,0
489,1/11/2020,69,17.45833333,42,260,2
490,1/11/2020,70,12.13043478,26,200,0
491,1/11/2020,71,8.125,37,270,0
492,1/11/2020,72,22.29166667,48,240,2
493,1/11/2020,73,9.208333333,35,220,0
494,1/11/2020,74,10.25,47,280,0
495,1/11/2020,75,19.77487765,49,770,2
496,1/11/2020,76,12.78571429,50,320,0
497,8/11/2020,0,10.83333333,62,320,1
498,8/11/2020,1,13.70833333,65,390,1
499,8/11/2020,2,10.5,54,310,1
500,8/11/2020,3,12.125,60,320,1
501,8/11/2020,4,17.625,54,340,1
502,8/11/2020,5,7.083333333,45,220,1
503,8/11/2020,6,10.14678899,53,330,1
504,8/11/2020,7,22.34782609,60,370,1
505,8/11/2020,10,41.5,105,400,0
506,8/11/2020,13,40.95833333,115,390,0
507,8/11/2020,20,20.5,83,370,0
508,8/11/2020,21,16.5,101,410,0
