,date,province,PM25,O3,CO,cluster
159,2020-08-15,พะเยา,7.0,69,100,Best Air
160,2020-08-15,แพร่,9.916666666666666,52,140,Best Air
161,2020-08-15,แม่ฮ่องสอน,4.458333333333333,33,80,Best Air
162,2020-08-15,ลำปาง,6.688172043010753,69,130,Best Air
163,2020-08-15,ลำพูน,16.958333333333332,44,80,Best Air
164,2020-08-15,อุตรดิตถ์,18.0,54,120,Best Air
165,2020-08-15,กาฬสินธ์ุ,23.0,69,150,Moderate Air
166,2020-08-15,ขอนแก่น,13.041666666666666,60,130,Best Air
167,2020-08-15,ชัยภูมิ,24.0,66,140,Moderate Air
168,2020-08-15,นครพนม,29.0,71,170,Moderate Air
169,2020-08-15,นครราชสีมา,12.625,69,120,Best Air
170,2020-08-15,บุรีรัมย์,15.0,65,100,Best Air
171,2020-08-15,ร้อยเอ็ด,20.0,64,120,Best Air
172,2020-08-15,เลย,8.318181818181818,57,120,Best Air
173,2020-08-15,สกลนคร,25.0,75,170,Moderate Air
174,2020-08-15,หนองคาย,5.0,84,250,Worst Air
175,2020-08-15,อุดรธานี,31.0,78,200,Moderate Air
176,2020-08-15,อุบลราชธานี,7.333333333333333,56,120,Best Air
177,2020-08-15,กำแพงเพชร,9.0,49,110,Best Air
178,2020-08-15,นครนายก,20.0,68,130,Best Air
179,2020-08-15,นครสวรรค์,12.708333333333334,64,140,Best Air
180,2020-08-15,นนทบุรี,13.703703703703704,80,160,Best Air
181,2020-08-15,ปทุมธานี,18.708333333333332,90,210,Worst Air
182,2020-08-15,พระนครศรีอยุธยา,10.541666666666666,96,290,Worst Air
183,2020-08-15,พิจิตร,26.0,55,130,Moderate Air
184,2020-08-15,พิษณุโลก,18.0,53,130,Best Air
185,2020-08-15,เพชรบูรณ์,17.0,47,140,Best Air
186,2020-08-15,ลพบุรี,42.0,78,160,Moderate Air
187,2020-08-15,สมุทรปราการ,16.975,83,90,Best Air
188,2020-08-15,สมุทรสาคร,14.76595744680851,58,90,Best Air
189,2020-08-15,สิงห์บุรี,24.0,74,120,Moderate Air
190,2020-08-15,สุโขทัย,16.0,55,130,Best Air
191,2020-08-15,สระบุรี,15.145833333333334,72,140,Best Air
192,2020-08-15,อุทัยธานี,11.541666666666666,59,100,Best Air
193,2020-08-15,ตราด,21.75,61,70,Best Air
194,2020-08-15,ปราจีนบุรี,10.833333333333334,71,100,Best Air
195,2020-08-15,ระยอง,10.51923076923077,74,80,Best Air
196,2020-08-15,กาญจนบุรี,10.458333333333334,60,90,Best Air
197,2020-08-15,ตาก,6.333333333333333,57,160,Best Air
198,2020-08-15,ตรัง,42.0,78,210,Moderate Air
199,2020-08-15,นครศรีธรรมราช,8.2,68,180,Best Air
200,2020-08-15,ภูเก็ต,15.5,106,200,Worst Air
201,2020-08-15,ระนอง,4.363636363636363,42,100,Best Air
202,2020-08-15,สตูล,8.541666666666666,117,240,Worst Air
203,2020-08-15,สงขลา,20.75,109,270,Worst Air
204,2020-08-15,สุราษฎร์ธานี,14.583333333333334,61,140,Best Air
205,2020-08-15,ยะลา,12.354166666666666,63,170,Best Air
206,2020-08-15,กรุงเทพฯ,17.07795275590551,75,120,Best Air
207,2020-08-15,ชลบุรี,12.694444444444445,78,80,Best Air
208,2020-08-22,เชียงราย,7.75,50,160,Best Air
209,2020-08-22,เชียงใหม่,12.829787234042554,55,180,Moderate Air
210,2020-08-22,น่าน,4.473684210526316,71,140,Moderate Air
211,2020-08-22,พะเยา,4.333333333333333,53,160,Best Air
212,2020-08-22,แพร่,4.875,55,190,Moderate Air
213,2020-08-22,แม่ฮ่องสอน,3.375,29,80,Best Air
214,2020-08-22,ลำปาง,4.6063829787234045,86,160,Moderate Air
215,2020-08-22,ลำพูน,15.916666666666666,55,160,Best Air
216,2020-08-22,อุตรดิตถ์,21.0,58,120,Best Air
217,2020-08-22,กาฬสินธ์ุ,24.0,68,160,Worst Air
218,2020-08-22,ขอนแก่น,14.0,61,140,Best Air
219,2020-08-22,ชัยภูมิ,14.0,52,120,Best Air
220,2020-08-22,นครพนม,33.0,68,180,Worst Air
221,2020-08-22,นครราชสีมา,16.166666666666668,60,130,Best Air
222,2020-08-22,บุรีรัมย์,33.0,69,150,Worst Air
223,2020-08-22,ร้อยเอ็ด,28.0,70,160,Worst Air
224,2020-08-22,เลย,6.791666666666667,55,150,Best Air
225,2020-08-22,สกลนคร,37.0,68,200,Worst Air
226,2020-08-22,หนองคาย,5.958333333333333,75,200,Moderate Air
227,2020-08-22,อุดรธานี,35.0,68,210,Worst Air
228,2020-08-22,อุบลราชธานี,11.0,89,140,Moderate Air
229,2020-08-22,กำแพงเพชร,31.0,63,160,Worst Air
230,2020-08-22,นครนายก,40.0,76,210,Worst Air
231,2020-08-22,นครสวรรค์,11.041666666666666,45,100,Best Air
232,2020-08-22,นนทบุรี,10.708333333333334,78,200,Moderate Air
233,2020-08-22,ปทุมธานี,11.916666666666666,75,180,Moderate Air
234,2020-08-22,พระนครศรีอยุธยา,11.625,63,130,Best Air
235,2020-08-22,พิจิตร,22.0,55,140,Best Air
236,2020-08-22,พิษณุโลก,22.0,59,130,Best Air
237,2020-08-22,เพชรบูรณ์,17.0,48,130,Best Air
238,2020-08-22,ลพบุรี,14.0,56,120,Best Air
239,2020-08-22,สมุทรปราการ,15.714285714285714,74,160,Moderate Air
240,2020-08-22,สมุทรสาคร,16.75,54,120,Best Air
241,2020-08-22,สิงห์บุรี,8.0,46,100,Best Air
242,2020-08-22,สุโขทัย,23.0,62,150,Worst Air
243,2020-08-22,สระบุรี,18.583333333333332,66,150,Moderate Air
244,2020-08-22,อุทัยธานี,6.25,45,100,Best Air
245,2020-08-22,ตราด,19.85,50,80,Best Air
246,2020-08-22,ปราจีนบุรี,13.375,80,200,Moderate Air
247,2020-08-22,ระยอง,13.521008403361344,64,100,Best Air
248,2020-08-22,กาญจนบุรี,7.625,40,80,Best Air
249,2020-08-22,ตาก,5.916666666666667,50,90,Best Air
250,2020-08-22,ตรัง,11.166666666666666,64,120,Best Air
251,2020-08-22,นครศรีธรรมราช,12.3,54,120,Best Air
252,2020-08-22,ภูเก็ต,16.25,58,100,Best Air
