,date,provinceNo,PM25
505,20210808,70,1
506,20210808,40,1
507,20210808,44,2
508,20210808,31,14
509,20210808,45,1
510,20210808,38,4
511,20210808,29,2
512,20210808,37,4
513,20210808,39,1
514,20210808,9,14
515,20210808,19,8
516,20210808,11,3
517,20210808,15,6
518,20210815,70,2
519,20210815,40,32
520,20210815,44,12
521,20210815,31,2
522,20210815,45,6
523,20210815,29,4
524,20210815,37,11
525,20210815,39,16
526,20210815,9,4
527,20210815,19,2
528,20210815,11,3
529,20210815,15,2
530,20210822,70,0
531,20210822,40,57
532,20210822,44,8
533,20210822,31,6
534,20210822,45,7
535,20210822,29,13
536,20210822,37,37
537,20210822,39,10
538,20210822,9,11
539,20210822,19,25
540,20210822,11,9
541,20210822,15,8
542,20210822,13,5
543,20210901,70,0
544,20210901,35,199
545,20210901,40,64
546,20210901,44,34
547,20210901,31,237
548,20210901,45,13
549,20210901,29,12
550,20210901,37,23
551,20210901,39,2
552,20210901,9,7
553,20210901,19,12
554,20210901,11,4
555,20210901,15,10
556,20210908,71,2
557,20210908,70,0
558,20210908,40,5
559,20210908,44,8
560,20210908,31,19
561,20210908,45,16
562,20210908,29,4
563,20210908,37,11
564,20210908,39,5
565,20210908,9,8
566,20210908,19,7
567,20210908,11,10
568,20210908,15,9
569,20210915,70,2
570,20210915,40,26
571,20210915,44,36
572,20210915,31,5
573,20210915,45,7
574,20210915,29,3
575,20210915,37,6
576,20210915,39,4
577,20210915,10,12
578,20210915,9,6
579,20210915,19,4
580,20210915,11,6
581,20210915,15,2
582,20210922,70,0
583,20210922,40,12
584,20210922,44,14
585,20210922,31,2
586,20210922,45,10
587,20210922,29,12
588,20210922,37,16
589,20210922,39,4
590,20210922,10,10
591,20210922,9,5
592,20210922,19,4
593,20210922,11,3
594,20210922,15,2
595,20211001,70,7
596,20211001,36,234
597,20211001,40,159
598,20211001,44,152
599,20211001,31,46
600,20211001,45,27
601,20211001,29,33
602,20211001,37,75
603,20211001,39,14
604,20211001,20,14
605,20211001,9,37
606,20211001,19,33
607,20211001,11,23
608,20211001,15,14
609,20211008,70,2
610,20211008,40,21
611,20211008,44,24
612,20211008,31,59
613,20211008,45,18
614,20211008,29,11
615,20211008,37,17
616,20211008,39,4
617,20211008,20,3
618,20211008,9,10
619,20211008,19,11
620,20211008,11,19
621,20211008,15,12
622,20211015,70,2
623,20211015,40,31
624,20211015,44,55
625,20211015,31,11
626,20211015,37,18
627,20211015,39,10
628,20211015,20,8
629,20211015,9,3
630,20211015,19,8
631,20211015,11,16
632,20211015,15,5
633,20211022,70,17
634,20211022,44,6
635,20211022,31,7
636,20211022,37,10
637,20211022,9,26
638,20211022,19,35
639,20211022,11,3
640,20211022,15,6
641,20211101,70,2
642,20211101,44,6
643,20211101,31,1
644,20211101,37,16
645,20211101,9,8
646,20211101,19,8
647,20211101,11,10
648,20211101,15,7
649,20211108,70,2
650,20211108,44,8
651,20211108,31,3
652,20211108,37,20
653,20211108,9,44
654,20211108,19,40
655,20211108,11,29
656,20211108,15,51
657,20211115,70,6
658,20211115,44,44
659,20211115,31,29
660,20211115,37,55
661,20211122,70,2
662,20211122,44,16
663,20211122,31,9
664,20211122,37,24
665,20211201,70,7
