,date,provinceNo,co
347,20201108,76.0,390
348,20201108,54.0,350
349,20201108,52.0,330
350,20201115,74.0,200
351,20201115,71.0,270
352,20201115,72.0,320
353,20201115,63.0,290
354,20201115,64.0,260
355,20201115,69.0,280
356,20201115,73.0,240
357,20201115,70.0,260
358,20201115,56.0,360
359,20201115,41.0,390
360,20201115,34.0,960
361,20201115,35.0,540
362,20201115,36.0,340
363,20201115,47.0,280
364,20201115,40.0,280
365,20201115,44.0,340
366,20201115,53.0,320
367,20201115,31.0,280
368,20201115,0.0,200
369,20201115,5.0,160
370,20201115,3.0,210
371,20201115,2.0,180
372,20201115,1.0,320
373,20201115,7.0,310
374,20201115,6.0,230
375,20201115,4.0,190
376,20201115,8.0,200
377,20201115,45.0,310
378,20201115,57.0,240
379,20201115,38.0,370
380,20201115,29.0,320
381,20201115,37.0,400
382,20201115,39.0,190
383,20201115,33.0,300
384,20201115,49.0,280
385,20201115,24.0,340
386,20201115,20.0,250
387,20201115,26.0,320
388,20201115,12.0,300
389,20201115,21.0,260
390,20201115,10.0,250
391,20201115,9.0,240
392,20201115,19.0,260
393,20201115,11.0,260
394,20201115,27.0,410
395,20201115,15.0,320
396,20201115,13.0,290
397,20201115,76.0,320
398,20201115,54.0,300
399,20201115,52.0,250
400,20201122,74.0,180
401,20201122,71.0,240
402,20201122,72.0,190
403,20201122,63.0,210
404,20201122,64.0,200
405,20201122,69.0,220
406,20201122,73.0,210
407,20201122,70.0,210
408,20201122,56.0,350
409,20201122,43.0,810
410,20201122,41.0,780
411,20201122,36.0,650
412,20201122,47.0,350
413,20201122,40.0,430
414,20201122,44.0,460
415,20201122,53.0,300
416,20201122,31.0,310
417,20201122,0.0,360
418,20201122,5.0,200
419,20201122,3.0,380
420,20201122,2.0,260
421,20201122,1.0,540
422,20201122,7.0,510
423,20201122,6.0,350
424,20201122,4.0,290
425,20201122,8.0,360
426,20201122,45.0,500
427,20201122,57.0,460
428,20201122,38.0,360
429,20201122,29.0,510
430,20201122,37.0,400
431,20201122,39.0,220
432,20201122,33.0,690
433,20201122,49.0,690
434,20201122,24.0,200
435,20201122,20.0,250
436,20201122,26.0,190
437,20201122,12.0,150
438,20201122,21.0,140
439,20201122,10.0,210
440,20201122,9.0,180
441,20201122,19.0,180
442,20201122,11.0,320
443,20201122,27.0,270
444,20201122,15.0,350
445,20201122,13.0,300
446,20201122,76.0,290
447,20201122,54.0,270
448,20201122,52.0,260
449,20201201,74.0,430
450,20201201,71.0,500
451,20201201,72.0,210
452,20201201,63.0,370
453,20201201,64.0,420
454,20201201,69.0,440
455,20201201,73.0,480
456,20201201,70.0,420
457,20201201,56.0,410
458,20201201,43.0,920
459,20201201,75.0,720
460,20201201,41.0,430
461,20201201,34.0,760
462,20201201,35.0,490
463,20201201,36.0,460
464,20201201,47.0,380
465,20201201,40.0,430
466,20201201,44.0,500
467,20201201,53.0,380
468,20201201,31.0,380
469,20201201,0.0,280
470,20201201,5.0,200
471,20201201,3.0,280
472,20201201,2.0,240
473,20201201,1.0,310
474,20201201,7.0,280
475,20201201,6.0,250
476,20201201,4.0,240
477,20201201,8.0,260
478,20201201,45.0,400
479,20201201,57.0,310
480,20201201,38.0,380
481,20201201,29.0,340
482,20201201,37.0,410
483,20201201,39.0,250
484,20201201,33.0,400
485,20201201,49.0,430
486,20201201,24.0,330
487,20201201,20.0,340
488,20201201,26.0,400
489,20201201,12.0,400
490,20201201,21.0,460
491,20201201,10.0,450
492,20201201,9.0,410
493,20201201,19.0,420
494,20201201,11.0,440
495,20201201,27.0,360
496,20201201,15.0,400
497,20201201,13.0,410
498,20201201,76.0,400
499,20201201,54.0,430
500,20201201,52.0,410
501,20201208,74.0,280
502,20201208,71.0,320
503,20201208,72.0,280
504,20201208,63.0,270
505,20201208,64.0,470
506,20201208,69.0,320
507,20201208,73.0,520
508,20201208,70.0,390
509,20201208,56.0,440
510,20201208,41.0,470
511,20201208,35.0,770
512,20201208,36.0,400
513,20201208,47.0,330
514,20201208,40.0,420
515,20201208,44.0,340
516,20201208,53.0,360
517,20201208,31.0,330
518,20201208,0.0,330
519,20201208,5.0,230
520,20201208,3.0,280
521,20201208,2.0,300
522,20201208,1.0,350
523,20201208,7.0,250
